BattleId,winning,t1p1,t1p2,t1p3,t1p4,t1p5,t2p1,t2p2,t2p3,t2p4,t2p5
618610648199475776,1,Claude,Gord,Martis,Paquito,Silvanna,Angela,Brody,Edith,Ling,Pharsa
617814773579656478,1,Atlas,Lapu-Lapu,Lesley,Martis,Xavier,Estes,Fredrinn,Moskov,Pharsa,Silvanna
700274323141957841,1,Atlas,Gusion,Karina,Melissa,Silvanna,Beatrix,Fanny,Kaja,Lolita,Valentina
699408277346456578,1,Fredrinn,Kadita,Terizla,Valentina,Wanwan,Brody,Freya,Julian,Lancelot,Silvanna
612670089953808069,1,Arlott,Lesley,Lolita,Pharsa,Silvanna,Aldous,Franco,Fredrinn,Melissa,Valir
593088311849065812,1,Aldous,Alucard,Joy,Lolita,Moskov,Claude,Fanny,Gusion,Martis,Silvanna
589921877274850046,1,Brody,Estes,Gloo,Martis,Silvanna,Beatrix,Khufra,Ling,Pharsa,Terizla
585934240658675107,1,Melissa,Natalia,Ruby,Silvanna,Valentina,Beatrix,Hayabusa,Hilda,Lancelot,Xavier
585021096251805632,1,Franco,Hanabi,Martis,Valentina,X.Borg,Ling,Melissa,Minsitthar,Selena,Silvanna
583378176771802508,1,Estes,Granger,Lesley,Silvanna,Xavier,Atlas,Beatrix,Faramis,Martis,Terizla
644387362577736055,1,Aldous,Fanny,Lesley,Selena,Silvanna,Akai,Claude,Esmeralda,Khufra,Valentina
643924536901917992,1,Beatrix,Faramis,Martis,Silvanna,Yu Zhong,Diggie,Ling,Melissa,Roger,Valentina
643457910180042954,1,Aldous,Claude,Julian,Minsitthar,Silvanna,Aamon,Beatrix,Lapu-Lapu,Selena,Valentina
642898400495424361,1,Claude,Estes,Fredrinn,Lapu-Lapu,Silvanna,Akai,Brody,Fanny,Xavier,Yu Zhong
642459317398818582,1,Claude,Estes,Martis,Silvanna,Xavier,Argus,Clint,Hayabusa,Natalia,Valentina
641976507240172099,1,Aldous,Martis,Moskov,Silvanna,Xavier,Atlas,Clint,Fredrinn,Kadita,Minsitthar
641542513679812036,1,Aldous,Claude,Eudora,Ling,Silvanna,Atlas,Clint,Edith,Hayabusa,Xavier
649540318310765930,1,Balmond,Gusion,Layla,Moskov,Pharsa,Brody,Cecilion,Lapu-Lapu,Saber,Selena
633691884693549714,1,Balmond,Melissa,Odette,Sun,Valir,Aamon,Arlott,Clint,Kaja,Pharsa
714828700292795320,1,Arlott,Bruno,Franco,Harley,Valentina,Aldous,Angela,Balmond,Moskov,Vale
714469215825086097,1,Aurora,Karrie,Lapu-Lapu,Ling,Lolita,Balmond,Diggie,Hanzo,Kadita,Moskov
594605088139590278,1,Balmond,Kadita,Karrie,Minsitthar,Nana,Brody,Johnson,Martis,Terizla,Valir
680020700482975305,1,Harley,Khufra,Moskov,Pharsa,Yin,Hanabi,Lapu-Lapu,Martis,Tigreal,Xavier
679790872487997807,1,Estes,Hanabi,Harley,Lapu-Lapu,Lylia,Aamon,Atlas,Badang,Bruno,Xavier
592586346136277766,1,Balmond,Clint,Franco,Minsitthar,Xavier,Edith,Estes,Fanny,Hanabi,Zhask
592311549833711221,1,Hayabusa,Lapu-Lapu,Melissa,Tigreal,Valentina,Atlas,Cecilion,Clint,Esmeralda,X.Borg
591248090161414252,1,Arlott,Franco,Karina,Karrie,Vale,Lapu-Lapu,Lesley,Nana,Paquito,Selena
590684581862242903,1,Balmond,Beatrix,Dyrroth,Estes,Zhask,Carmilla,Claude,Kaja,Pharsa,Zilong
590215657332864443,1,Balmond,Estes,Gord,Lesley,Thamuz,Alpha,Belerick,Brody,Minsitthar,Valentina
589684296863903973,1,Kadita,Kagura,Melissa,Ruby,Saber,Aamon,Balmond,Clint,Tigreal,Vexana
588887868193303130,1,Beatrix,Estes,Ruby,Valentina,Yi Sun-shin,Kaja,Lapu-Lapu,Ling,Vexana,Wanwan
588089395118269563,1,Atlas,Balmond,Bane,Claude,Vexana,Beatrix,Franco,Lancelot,Lancelot,Valentina
587398287635701651,1,Cyclops,Floryn,Hanabi,Lapu-Lapu,Saber,Diggie,Gloo,Harley,Irithel,Lancelot
648338268633597640,1,Aldous,Cyclops,Khufra,Lancelot,Melissa,Alice,Balmond,Brody,Franco,Paquito
647782937952158007,1,Badang,Beatrix,Gloo,Ling,Xavier,Aldous,Balmond,Kimmy,Moskov,Vale
641437974175827123,1,Atlas,Claude,Lancelot,Xavier,Yu Zhong,Balmond,Bruno,Diggie,Gloo,Nana
247528179656441460,1,Brody,Franco,Martis,Pharsa,Terizla,Helcurt,Lolita,Melissa,Xavier,Yu Zhong
