Year,Department,Job Code,Wages,Overtime,Fixed Benefits,Variable Benefits,Total,ObjectId
16,Parks & Community Services,AMG605 - Office Asst - PBM,3941.08,,,449.57,4390.65,1
17,Parks & Community Services,AMG605 - Office Asst - PBM,5891.99,,,537.2,6429.19,2
18,Parks & Community Services,AMG605 - Office Asst - PBM,5103.08,,,449.3,5552.38,3
14,Parks & Community Services,AMG605 - Office Asst - PBM,10426.25,,,1205.97,11632.22,4
15,Parks & Community Services,AMG605 - Office Asst - PBM,24947.1,,,2802.44,27749.54,5
16,Parks & Community Services,AMG605 - Office Asst - PBM,13880.15,330.25,,1585.59,15795.99,6
16,Parks & Community Services,AMG605 - Office Asst - PBM,408.38,,,46.82,455.2,7
14,Parks & Community Services,AMG605 - Office Asst - PBM,6683.04,,,791.34,7474.38,8
15,Parks & Community Services,AMG605 - Office Asst - PBM,603.49,,,69.98,673.47,9
16,Parks & Community Services,AMG605 - Office Asst - PBM,3315.25,,,386.38,3701.63,10
17,Parks & Community Services,AMG605 - Office Asst - PBM,3021.51,,,435.87,3457.38,11
14,Parks & Community Services,AMG605 - Office Asst - PBM,14444.75,,,1670.43,16115.18,12
15,Parks & Community Services,AMG605 - Office Asst - PBM,31374.23,,,3472.94,34847.17,13
16,Parks & Community Services,AMG605 - Office Asst - PBM,33737.78,0,,3656.21,37393.99,14
17,Parks & Community Services,AMG605 - Office Asst - PBM,35332.94,82.39,,3150.12,38565.45,15
18,Parks & Community Services,AMG605 - Office Asst - PBM,38068.19,,2.56,3292.59,41363.34,16
19,Parks & Community Services,AMG605 - Office Asst - PBM,41881.71,,0.67,3665.11,45547.49,17
14,Parks & Community Services,AMG605 - Office Asst - PBM,470.88,,,56.39,527.27,18
14,Parks & Community Services,AMG605 - Office Asst - PBM,8501.76,,,1017.2,9518.96,19
15,Parks & Community Services,AMG605 - Office Asst - PBM,2154.09,,,249.71,2403.8,20
14,Finance & Asset Management,AMG605 - Office Asst - PBM,2280.96,,,273.16,2554.12,21
14,Parks & Community Services,AMG605 - Office Asst - PBM,695.52,,,81.88,777.4,22
15,Parks & Community Services,AMG605 - Office Asst - PBM,3836.76,,,444.81,4281.57,23
15,Parks & Community Services,AMG605 - Office Asst - PBM,3371.65,,,384.45,3756.1,24
16,Parks & Community Services,AMG605 - Office Asst - PBM,6626.73,,,752.4,7379.13,25
15,Parks & Community Services,AMG605 - Office Asst - PBM,5515.14,,,639.3,6154.44,26
15,Parks & Community Services,AMG605 - Office Asst - PBM,3876.44,,,449.37,4325.81,27
